ID,Name,Category,Price,Tone_Description,Skill_Level,Key_Features
STR-I-01,Fender Player Stratocaster,String - Instrument,799.99,"Crisp, bell-like chime with punchy mid-range",Intermediate,"Solid body, 3 single-coil pickups, modern C-shaped neck"
STR-I-02,Gibson Les Paul Standard '50s,String - Instrument,2799,"Thick, warm, and aggressive with endless sustain",Professional,"Mahogany body, dual humbucking pickups, carved maple top"
STR-I-03,Martin D-28 Acoustic,String - Instrument,3199,"Rich, resonant bass with massive acoustic projection",Professional,"East Indian rosewood back/sides, dreadnought body"
STR-I-04,Taylor 314ce Grand Auditorium,String - Instrument,2199,"Balanced, articulate, and bright",Professional,"Venetian cutaway, Expression System 2 electronics"
STR-I-05,Ibanez SR500E Electric Bass,String - Instrument,699.99,"Punchy, customizable, and tight low-end",Intermediate,"Lightweight body, fast neck, Bartolini active pickups"
STR-I-06,Yamaha Pacifica 112V,String - Instrument,329.99,Versatile range from warm rhythm to cutting lead,Beginner,"HSS pickup configuration, tremolo bridge"
STR-I-07,PRS SE Custom 24,String - Instrument,849,"Smooth, versatile tone with strong mid-range presence",Intermediate,"Maple top, dual humbuckers with coil-tapping"
STR-I-08,Gretsch G5420T Electromatic,String - Instrument,799.99,"Rich, twangy, and wildly resonant",Intermediate,"Hollow-body, Filter'Tron pickups, Bigsby vibrato"
STR-I-09,Epiphone Sheraton-II PRO,String - Instrument,749,"Warm, chimey vintage tone with excellent feedback resistance",Intermediate,"Semi-hollowbody, ProBucker pickups, pearl block inlays"
STR-I-10,Cordoba C7 Classical,String - Instrument,559,"Robust, warm, and authentic traditional nylon tone",Beginner to Intermediate,"Solid Canadian cedar top, rosewood back and sides"
STR-I-11,Rickenbacker 330 Semi-Hollow,String - Instrument,1999,"Jangling, bright, and classic 60s chime",Professional,"Unique crescent cutaways, high-gain single coils"
STR-I-12,Jackson Soloist SL2Q MAH,String - Instrument,999.99,"Aggressive, high-output, and articulate for heavy distortion",Intermediate to Professional,"Fast-playing maple neck, Seymour Duncan pickups"
STR-I-13,ESP LTD EC-1000,String - Instrument,1099,"Blistering attack with thick, modern metal chunk",Professional,"Active EMG pickups, locking tuners, single-cutaway"
STR-I-14,Squier Affinity Telecaster,String - Instrument,249.99,Classic twang and bite,Beginner,"Two single-coil pickups, string-through-body bridge"
STR-I-15,Music Man StingRay Special Bass,String - Instrument,2499,"Distinctly punchy, cutting, and aggressively funky",Professional,"Single humbucking pickup, active 3-band EQ"
STR-I-16,Guild D-55 Acoustic,String - Instrument,3499,"Massively loud, warm, and booming",Professional,"Solid AAA spruce top, solid rosewood back and sides"
STR-I-17,Seagull S6 Original Acoustic,String - Instrument,599,Incredibly warm and responsive with mellow highs,Beginner to Intermediate,"Pressure-tested cedar top, tapered headstock"
STR-I-18,Washburn Rover Travel Guitar,String - Instrument,199.99,"Bright and focused, surprisingly full for its size",All Levels,"Compact travel size, full-scale playability, gig bag included"
STR-I-19,Ovation Celebrity CE44,String - Instrument,449,"Balanced, mid-forward, and highly feedback-resistant",Intermediate,"Composite Lyrachord bowl back, solid spruce top"
STR-I-20,Kala KA-15S Soprano Ukulele,String - Instrument,65,"Bright, joyful, and authentically tropical",Beginner,"Mahogany construction, traditional satin finish"
STR-A-01,D'Addario NYXL1046 Strings,String - Accessory,14.99,Boosted mid-range frequency response,All Levels,"High-carbon steel core, unprecedented tuning stability"
STR-A-02,Ernie Ball Regular Slinky (10-46),String - Accessory,6.99,"Perfectly balanced, vibrant sound",All Levels,"Nickel-wound, industry standard for rock and blues"
STR-A-03,Dunlop Tortex Standard Picks,String - Accessory,4.99,"Snappy, articulate attack",All Levels,"Simulated tortoiseshell, matte grip finish"
STR-A-04,Kyser Quick-Change Capo,String - Accessory,21.95,N/A - Utility,All Levels,"Spring-tensioned, one-handed operation"
STR-A-05,Snark Super Snark HZ Tuner,String - Accessory,29.99,N/A - Utility,All Levels,"Bright LED display, Hertz tuning capability"
STR-A-06,Levy's M26 Genuine Leather Strap,String - Accessory,49.99,N/A - Utility,All Levels,"2.5-inch genuine leather, fully adjustable"
STR-A-07,Hercules GS414B PLUS Guitar Stand,String - Accessory,54.99,N/A - Utility,All Levels,"Auto-Grip System, specially formulated foam"
STR-A-08,GHS Fast Fret String Lubricant,String - Accessory,9.99,Maintains bright tone longer,All Levels,"Cleans strings, conditions fretboard, speeds up playing"
STR-A-09,Boss TU-3 Chromatic Tuner,String - Accessory,119.99,N/A - Utility,Intermediate to Professional,"Metal stompbox, high-brightness mode, pinpoint accuracy"
STR-A-10,Gator Transit Series Gig Bag,String - Accessory,129.99,N/A - Utility,All Levels,"Thick plush interior, weather-resistant exterior"
STR-A-11,Elixir Nanoweb Acoustic Strings,String - Accessory,16.99,"Vibrant, bright out-of-the-box tone",All Levels,"Polymer coating, rust resistant, extended life"
STR-A-12,Planet Waves Pro-Winder String Tool,String - Accessory,12.99,N/A - Utility,All Levels,"Peg winder, string clipper, bridge pin puller in one"
STR-A-13,Shubb C1 Standard Capo,String - Accessory,24.95,N/A - Utility,Intermediate to Professional,"Custom over-center locking mechanism, buzz-free intonation"
STR-A-14,Fender Professional Series Cable,String - Accessory,24.99,"Pure, uncolored signal transfer",All Levels,"Heavy-gauge, spiral shielding, flexible jacket"
STR-A-15,Gruv Gear FretWraps String Muter,String - Accessory,14.99,Eliminates sympathetic ringing and overtones,Intermediate to Professional,"Adjustable tension, slides over nut, essential for studio"
STR-A-16,MusicNomad Guitar ONE All-in-1 Polish,String - Accessory,15.99,N/A - Utility,All Levels,"Cleans, shines, protects, includes UV shield"
STR-A-17,D'Andrea Pro Plec Guitar Picks,String - Accessory,11.99,"Incredibly warm, fat, and rounded tone",Intermediate to Professional,"Premium thermoplastic, polished edges, favored for jazz"
STR-A-18,Schaller S-Locks Security Locks,String - Accessory,28,N/A - Utility,Intermediate to Professional,"Robust steel construction, pull-to-release mechanism"
STR-A-19,Thalia Premium Capo,String - Accessory,79.99,N/A - Utility,Professional,"Interchangeable fretpads, luxurious plating, flawless stability"
STR-A-20,Big Bends Nut Sauce Lubricant,String - Accessory,19.99,N/A - Utility,Intermediate to Professional,"Synthetic lubricant, prevents string binding at the nut"
WND-I-01,Yamaha YAS-280 Alto Saxophone,Wind - Instrument,1199,"Clear, focused, and incredibly consistent",Beginner,"Excellent intonation, comfortable ergonomics, durable brass"
WND-I-02,Buffet Crampon R13 Professional Clarinet,Wind - Instrument,3999,"Rich, dark, and historically renowned",Professional,"Unstained Grenadilla wood, poly-cylindrical bore"
WND-I-03,Bach 180S37 Stradivarius Trumpet,Wind - Instrument,3299,Brilliant core sound with unparalleled projection,Professional,"Silver-plated finish, hand-hammered one-piece bell"
WND-I-04,Pearl PF-505E Quantz Flute,Wind - Instrument,849,Highly responsive and sweet sounding,Beginner to Intermediate,"Silver-plated body, closed-hole keys, pointed tonearms"
WND-I-05,Jupiter JTR700 Standard Trumpet,Wind - Instrument,699,Warm and consistent tone,Beginner,"Stainless steel valves, clear lacquer finish"
WND-I-06,Conn 8D CONNstellation Horn,Wind - Instrument,4999,"Expansive, dark, and resonant",Professional,"Nickel-silver construction, double French horn configuration"
WND-I-07,Fox Renard Model 51 Bassoon,Wind - Instrument,5499,Warm and reliable for students,Beginner,"Molded polypropylene body, short-reach key mechanism"
WND-I-08,King 2102 Legend 2B Trombone,Wind - Instrument,2599,"Bright, agile, and highly responsive",Professional,"Lightweight slide, 7-3/8 inch yellow brass bell"
WND-I-09,Selmer Paris Series III Soprano Sax,Wind - Instrument,6499,"Rich, lyrical, and perfectly in tune",Professional,"Flawless keywork, excellent upper-register control"
WND-I-10,Gemeinhardt 2SP Student Flute,Wind - Instrument,549,"Clear, easy sound production",Beginner,"Silver-plated, plateau keys, professionally cut headjoint"
WND-I-11,Yanagisawa A-W01 Alto Saxophone,Wind - Instrument,3699,"Highly resonant, centered core tone",Professional,"Flawless key action, premium Japanese brass"
WND-I-12,Trevor James 10X Flute,Wind - Instrument,499,Bright and responsive for easy learning,Beginner,"Silver-plated finish, specially designed lip plate"
WND-I-13,P. Mauriat PMXT-66R Tenor Sax,Wind - Instrument,3499,"Incredibly dark, massive vintage sound",Professional,"Rolled tone holes, unlacquered finish, large bore"
WND-I-14,Schilke B1 Custom Trumpet,Wind - Instrument,3599,"Remarkably open, free-blowing, and brilliant",Professional,"Reverse leadpipe, lightweight design, unparalleled valve action"
WND-I-15,Holton H179 Farkas French Horn,Wind - Instrument,4299,"Uniquely dark, centered, and ringing tone",Professional,"Solid nickel silver, large throat bell"
WND-I-16,Leblanc L225 Serenade Clarinet,Wind - Instrument,1699,"Complex, colorful, and mature tone",Intermediate,"Aged Grenadilla wood, silver-plated keywork"
